question,Intent_Number
resume,236
resume,236
resume,236
resume,236
resume,236
resume,236
resume,236
resume,236
resume,236
resume,236
resume,236
Should I wear a suit to the career fair?,236
Thank you,236
What,236
What,236
What are the job opportunities at Mesa College?,236
What are the job opportunities at mesa college?,236
What can I do after finishing Mathematics Major,236
What can I do with a economics major,236
What can I do with a Mathematics Major,236
What can I do with a Mathematics Major,236
What can I do with a Mathematics Major,236
What can I do with a Mathematics Major,236
What can I do with a Mathematics Major,236
What can I do with a Mathematics Major,236
What can I do with a Mathematics major?,236
What can I do with an Economics major,236
What can I do with an economics major,236
What can I do with an Economics major,236
What can I do with an Economics major?,236
What can I do with an Economics major?,236
What can I do with Mathematics Major,236
what is 2+2?,236
What is a cover letter,236
What is a cover letter?,236
What is a cover letteR?,236
what is a dog?,236
What is a good major,236
what is a resume,236
What is a resume?,236
What is an informational interview,236
What is Biology Major,236
What is business casual?,236
What is corn,236
What is informational interviewing,236
What is linkedin,236
What is LinkedIn?,236
What is the LSAT,236
What is the plan,236
what jobs do people get with a psychology degree,236
what kind of jobs do economics majors get?,236
What sections should I have on my resume,236
what sections should I have on my resume,236
what sections should I have on my resume,236
What sections should I have on my resume,236
what sections should I have on my resume,236
what sections should I have on my resume,236
What shouId I wear to an interview,236
What should I major in?,236
What should I put on the Experience section of my resume?,236
what should I wear to an interview,236
What should I wear to an interview?,236
What should I wear to an interview?,236
What should I wear to an interview?,236
What should I wear to an interview?,236
What should I wear to my interview,236
What should I wear to my interview?,236
What should I wear to the career fair,236
What should I wear to the career fair,236
What should I wear to the career fair?,236
What's the difference between resume and CV,236
when is bank of america intervieingo n campus,236
When is the career fair,236
When is the career fair,236
When is the career fair,236
When is the career fair,236
When is the next career fair,236
When should I apply to law school?,236
Where,236
Where is Resa Anderson's office?,236
where is rome,236
Where is the career center?,236
Where should I create my resume?,236
Who are you ?,236
Will taking the LSAT multiple times reduce your chances of getting into more competitive law schools?,236
 HOW TO SET RESEARCH GOALS FOR MY FUTURE,237
 I HAVE TO WRITE STATEMENT OF  RESEARCH INTEREST FO RNEXT FEW YEARST ,237
 I want summer funding for internship,237
 information session publication form,237
 overall career outcome health and socieites majors,237
 Want to speak to a career counselor ,237
1098T,237
"12.	What type of academic support services does this school offer? ",237
2016 top 25 recruiters,237
2017-2018 recruiting calendar,237
aberdeen asset management,237
academic job,237
accounting majors hired,237
administration position cover letter samples,237
advise,237
advisor,237
AFTER MS IN CHEMICAL & MOLECULAR ENGG WHAT ARE THE JOB OPPORTUNITIES IN US,237
